Time,Manipulability,Error
21.4697,2.8588,1.34555
21.5704,2.84106,1.30472
21.6714,2.82568,1.2677
21.7713,2.81059,1.23602
21.8713,2.79251,1.20888
21.9713,2.76051,1.1873
22.0713,2.68052,1.17116
22.1714,2.5518,1.16006
22.2723,2.38134,1.15291
22.3783,2.11038,1.14062
22.4783,1.77813,1.12684
22.5813,1.40255,1.11173
22.6813,1.2098,1.10263
22.7814,1.19498,1.1003
22.8813,1.18999,1.09944
22.9813,1.1891,1.09928
23.0814,1.18924,1.09929
23.1813,1.18928,1.09929
23.2814,1.18935,1.09929
23.3864,1.17192,1.73205
23.4873,1.05834,1.73205
23.5877,1.08057,1.73205
23.6883,1.28771,1.73205
23.7883,1.53308,1.73205
23.8906,1.82188,1.73205
23.9923,2.19198,1.72453
24.0924,2.69774,1.71466
24.1924,3.36792,1.70338
24.2933,4.20015,1.6902
24.3944,5.21749,1.67636
24.4944,6.40221,1.66197
24.5943,7.76599,1.64712
24.6944,9.10464,1.63134
24.7943,10.3334,1.61505
24.8945,11.543,1.59837
24.9944,12.4547,1.58152
25.0943,13.2386,1.56388
25.1964,14.0724,1.54474
25.2973,14.9809,1.50715
25.3994,16.0172,1.40387
25.5,17.2578,1.24734
25.5993,18.9952,1.08829
25.6994,21.3558,0.926343
25.7994,24.124,0.762446
25.8994,26.6165,0.611786
25.9994,28.37,0.478923
26.0994,29.6327,0.362517
26.2003,30.5419,0.270986
26.3033,31.2035,0.218678
26.4038,31.6574,0.204093
26.5045,31.9663,0.209006
26.6044,32.1173,0.217599
26.7054,32.094,0.221262
26.8084,31.6129,0.217019
26.9094,30.6206,0.203375
27.0094,29.7087,0.184507
27.1093,29.1132,0.174526
27.2104,28.7493,0.1727
27.3104,28.6486,0.173247
27.4113,28.6418,0.173652
27.5124,28.6411,0.173581
27.6125,28.6412,0.173419
27.7124,28.6402,0.173364
27.8134,28.639,0.173318
27.9134,28.6389,0.173266
28.0143,28.6385,0.173214
28.1155,28.6382,0.173168
28.2154,28.6379,0.173107
28.3176,28.6489,1.26642
28.4224,28.8985,1.26462
28.5255,29.2512,1.26356
28.6275,29.4518,1.26279
28.7287,29.5841,1.26171
28.8362,29.7382,1.25944
28.9383,29.9264,1.25563
29.0395,30.2306,1.24965
29.1394,30.579,1.24132
29.2394,30.9805,1.21448
29.3405,31.2832,1.1262
29.4424,31.3367,1.03124
29.5435,31.3478,0.93376
29.6446,31.4016,0.832225
29.7455,31.5748,0.728959
29.8455,31.8778,0.626558
29.9464,32.3364,0.524493
30.0465,32.6798,0.426911
30.1465,32.9915,0.337854
30.2465,33.2613,0.264948
30.3474,33.5105,0.208555
30.4475,33.7034,0.172229
30.5484,33.846,0.151464
30.6484,33.9615,0.138241
30.7524,34.0243,0.131185
30.8534,34.0347,0.129275
30.9534,34.0333,0.129458
31.0534,34.0332,0.130185
31.1544,34.0339,0.130999
31.2545,34.0334,0.131729
31.3544,34.0339,0.132298
31.4564,34.0339,0.13278
31.5565,34.0341,0.13307
31.6575,34.0338,0.133259
31.7574,34.0341,0.133373
31.8575,34.0338,0.133507
31.9574,34.0346,0.133655
32.0577,34.0337,0.133767
32.1585,34.0345,0.133848
32.2584,34.0349,0.133943
32.3584,34.0349,0.134037
32.4605,34.0351,0.134107
32.5605,34.035,0.13415
32.6605,34.0362,0.134152
32.7625,34.0348,0.134178
32.8624,34.0361,0.134161
32.9625,34.0354,0.134182
33.0637,34.0351,0.134182
33.1645,34.0352,0.134191
33.2645,34.0354,0.134189
33.3697,33.9958,1.51602
