Time,Manipulability,Error
21.6471,30.0253,1.22516
21.7472,29.993,1.2187
21.8532,30.0581,1.21199
21.9541,30.0403,1.20566
22.0547,30.0607,1.19955
22.1542,30.1466,1.19341
22.2544,30.2108,1.18755
22.3542,30.2811,1.18168
22.4542,30.3311,1.17589
22.5552,30.3738,1.17008
22.6552,30.3675,1.16384
22.7562,30.2671,1.15725
22.8623,30.0101,1.73205
22.9622,32.5372,1.73205
23.0653,35.5392,1.73205
23.1655,38.3844,1.73205
23.2683,40.9402,1.73205
23.3782,43.2961,1.73205
23.4783,45.1849,1.73205
23.5803,46.8576,1.73205
23.6814,48.2076,1.72858
23.7815,49.2559,1.71016
23.8816,49.9805,1.69037
23.9824,50.4615,1.66023
24.0823,50.6311,1.60297
24.1823,50.7746,1.54491
24.2824,51.8387,1.48511
24.3824,55.0485,1.41965
24.4824,62.2546,1.34843
24.5824,74.1491,1.27947
24.6823,86.1836,1.22359
24.7843,90.4087,1.16859
24.8843,91.9901,1.10724
24.9844,93.2833,1.05577
25.0844,94.3784,1.00972
25.1857,95.2974,0.966628
25.2854,96.0423,0.927684
25.3874,96.6602,0.890401
25.4874,97.1449,0.856755
25.5885,97.5147,0.825184
25.6884,97.806,0.796209
25.7914,98.0278,0.768472
25.8925,98.1811,0.743127
25.9924,98.2855,0.719241
26.0924,98.394,0.697293
26.1938,98.4323,0.67628
26.2934,98.4571,0.656586
26.3945,98.4813,0.638127
26.4945,98.4738,0.620836
26.5955,98.4516,0.604455
26.6957,98.4444,0.589512
26.7955,98.4122,0.574841
26.8965,98.4114,0.561584
26.9965,98.371,0.549103
27.0985,98.3039,0.5369
27.1985,98.3251,0.526323
27.2986,98.2844,0.515943
27.4002,98.2021,0.505205
27.5006,98.183,0.495848
27.6006,98.1243,0.487182
27.7028,98.032,0.478273
27.8045,97.938,0.469708
27.9105,99.0388,1.13404
28.0106,100.432,1.12002
28.1139,101.659,1.10482
28.2136,102.572,1.08986
28.314,103.258,1.01256
28.4228,103.782,0.893774
28.5226,104.187,0.80052
28.6237,104.499,0.721526
28.7237,104.71,0.656573
28.8237,104.801,0.602994
28.9256,104.847,0.55703
29.0297,104.819,0.518043
29.1347,104.712,0.484939
29.2347,104.59,0.457955
29.3386,104.458,0.433777
29.4427,104.316,0.41267
29.5426,104.19,0.394116
29.6429,104.017,0.378375
29.7427,103.822,0.363227
29.8437,103.643,0.349878
29.9457,103.502,0.337551
30.0467,103.337,0.32695
30.1497,103.166,0.316914
30.252,103.026,0.306682
30.3517,102.937,0.297485
30.4541,102.796,0.289267
30.5548,102.613,0.281894
30.6547,102.42,0.275045
30.7548,102.272,0.268763
30.8551,102.19,0.263221
30.9551,102.125,0.258175
31.0567,102.045,0.253316
31.1598,101.955,0.248846
31.2597,101.834,0.244902
31.3598,101.691,0.24138
31.4612,101.538,0.238211
31.5608,101.399,0.235345
31.6618,101.294,0.232648
31.7621,101.212,0.230018
31.8629,101.139,0.227519
31.963,101.086,0.225283
32.0629,101.047,0.22293
32.1632,101.034,0.220624
32.2629,101.017,0.218298
32.3629,100.974,0.216111
32.4632,100.895,0.214024
32.5638,100.793,0.212021
32.6638,100.706,0.210443
32.7638,100.64,0.209107
32.8652,100.871,1.52868
32.9649,100.67,1.52213
33.0683,99.8666,1.51143
33.1679,98.8963,1.50068
33.2691,97.9295,1.49067
33.3709,96.9874,1.48138
33.4708,96.0766,1.47329
33.5739,95.2141,1.46572
33.674,94.35,1.45924
33.7739,93.5231,1.45346
33.8741,92.642,1.44823
33.974,91.7821,1.44358
34.0744,90.882,1.43936
34.1739,89.971,1.43559
34.2739,89.0552,1.43229
34.3742,88.0935,1.42938
34.4749,87.1177,1.42679
34.5749,86.0865,1.42451
34.6752,85.0505,1.4225
34.7752,83.9585,1.42078
34.8755,82.8142,1.41932
34.975,81.6142,1.41808
35.075,80.3779,1.41701
35.176,79.0828,1.41613
35.276,77.7445,1.41545
35.376,76.3475,1.41492
35.4761,74.9414,1.41454
35.576,73.4711,1.41432
35.6761,71.9968,1.41422
35.7771,70.4663,1.41425
35.877,68.9366,1.41441
35.977,67.4164,1.4147
36.079,65.8457,1.41511
36.1801,64.2875,1.41563
36.2811,62.7734,1.41628
36.3816,61.2509,1.41703
36.4811,59.7991,1.4179
36.5821,58.4345,1.41894
36.6841,57.0152,1.42006
36.7841,55.6705,1.42124
36.8842,54.3658,1.42249
36.9841,53.106,1.4238
37.0841,51.8628,1.4251
37.1841,50.6089,1.4263
37.2862,49.3248,1.42739
37.3871,48.0853,1.42835
37.4891,46.9513,1.42926
37.5911,46.0894,1.43022
37.6911,45.7459,1.43143
37.7931,45.8879,1.43294
37.9034,48.4607,1.73205
38.0055,53.1588,1.73205
38.1052,57.3923,1.73205
38.2064,60.9471,1.73205
38.3066,63.711,1.73205
38.4067,65.7049,1.73205
38.5062,67.0268,1.73205
38.6073,67.6608,1.73205
38.7072,67.6599,1.73205
38.8072,67.164,1.73205
38.9072,66.2017,1.73205
39.0075,64.864,1.73205
39.1082,63.2181,1.73205
39.2082,61.4013,1.73205
39.3083,59.5533,1.73205
39.4082,57.6476,1.73205
39.5085,55.8061,1.73205
39.6082,53.9005,1.73205
39.7112,51.9971,1.73205
39.8142,50.197,1.72651
39.9183,48.4674,1.72101
40.0183,46.9095,1.71631
40.1194,45.5338,1.71241
40.2203,44.2489,1.70886
40.3203,43.0432,1.70568
40.4204,41.9172,1.70275
40.5204,40.9457,1.70043
40.6213,40.0763,1.69858
40.7214,39.2487,1.69694
40.8243,38.4513,1.69549
40.9244,37.7694,1.6944
41.0244,37.0971,1.69325
41.1244,36.4605,1.69209
41.2244,35.9224,1.6911
41.3244,35.3716,1.68996
41.4254,34.8763,1.68888
41.5254,34.492,1.68815
41.6253,34.1794,1.68768
41.7254,33.9281,1.68731
41.8255,33.69,1.68694
41.9304,33.4364,1.68651
42.0338,33.206,1.68613
42.1335,33.0289,1.68585
42.2334,32.8477,1.68556
42.3334,32.6658,1.68524
42.4364,32.509,1.685
42.5374,32.3778,1.68481
42.6374,32.2848,1.68466
42.7375,32.1973,1.68452
42.8415,32.1401,1.55274
42.9475,33.6767,1.55488
43.0485,35.0962,1.55697
43.1485,36.2869,1.5611
43.2486,37.351,1.54453
43.3496,38.1444,1.49574
43.4497,38.6522,1.46037
43.5506,38.9129,1.43448
43.6516,39.0877,1.41588
43.7516,39.2458,1.40296
43.8526,39.5171,1.39391
43.9546,39.8995,1.38777
44.0545,40.2465,1.38371
44.1545,40.5187,1.38107
44.2551,40.6795,1.37939
44.3545,40.7825,1.3784
44.4545,40.8807,1.37801
44.5549,40.94,1.37799
44.6546,40.9724,1.37815
44.7556,40.943,1.3784
44.8566,40.908,1.37906
44.958,40.7793,1.3794
45.0576,40.6963,1.37989
45.1576,40.6081,1.38063
45.2576,40.4667,1.38117
45.3576,40.3189,1.38189
45.4577,40.157,1.38258
45.5581,39.9487,1.38304
45.658,39.7843,1.38382
45.7607,39.5878,1.38451
45.8606,39.3901,1.38506
45.9607,39.2187,1.38248
46.0607,39.0744,1.36956
46.1608,38.9503,1.35721
46.2611,38.8475,1.34562
46.3606,38.7248,1.33447
46.4611,38.5875,1.32333
46.5608,38.456,1.31296
46.6608,38.3053,1.30256
46.7607,38.1475,1.29241
46.8607,37.9619,1.2826
46.9608,37.6927,1.27253
47.0607,37.4386,1.26284
47.1617,37.14,1.25311
47.2619,36.8562,1.24384
47.3621,36.584,1.23466
47.4617,36.4434,1.22616
47.5618,36.1394,1.21745
47.6627,35.7631,1.20884
47.7628,35.3315,1.20036
47.8677,35.1302,1.69501
47.9678,34.3852,1.63276
48.0678,32.7939,1.55321
48.1678,30.9618,1.47873
48.2678,29.7796,1.41453
48.3679,29.8965,1.36417
48.4699,29.9657,1.32342
48.5718,29.8723,1.29131
48.6718,29.9843,1.26661
48.7748,29.8118,1.24627
48.8753,29.9253,1.23058
48.9748,29.8604,1.21809
49.0762,29.8582,1.20792
49.1793,29.8664,1.19994
49.2798,29.861,1.19346
49.3799,29.9615,1.18814
49.4799,29.8669,1.18324
49.5808,29.9735,1.17898
49.6809,29.8853,1.17569
49.7839,29.9319,1.17158
49.8839,29.9759,1.1704
49.9849,29.9001,1.16885
50.0849,29.8525,1.16738
50.1859,29.8035,1.16654
50.2859,29.8122,1.1662
50.3869,29.831,1.16597
50.489,29.8421,1.1669
50.5903,29.9051,1.16789
50.6909,29.9667,1.16919
50.7921,30.0527,1.17064
50.892,29.945,1.17121
50.992,30.0794,1.17252
51.092,29.8422,1.17877
51.192,30.0161,1.18226
51.292,30.0445,1.18476
51.392,30.0468,1.18988
51.4924,29.9423,1.19273
51.5931,30.0352,1.19734
51.6934,29.9845,1.20028
51.793,29.9764,1.20387
51.893,29.9968,1.20771
51.994,30.0477,1.21143
52.094,30.0484,1.215
52.1941,30.0263,1.21828
52.294,30.0091,1.22194
52.3941,30.0091,1.22554
52.4951,30.029,1.22927
52.5992,30.043,1.2335
52.6995,30.0023,1.23735
52.8011,30.0372,1.24139
52.9061,30.9829,1.3818
53.0061,33.9957,1.34398
53.1071,37.0567,1.30534
53.2071,39.9114,1.27245
53.3075,42.7723,1.24507
53.4072,45.6494,1.21352
53.5081,48.4405,1.16363
53.6081,51.0578,1.11744
53.7082,53.4359,1.07461
53.8091,55.5729,1.0343
53.9101,57.3883,0.996605
54.0101,58.908,0.962647
54.1111,60.0585,0.93048
54.2113,60.8843,0.90125
54.3112,61.4476,0.874628
54.4111,61.8123,0.849951
54.5111,61.9846,0.826682
54.6112,62.0161,0.805169
54.7112,61.9772,0.785736
54.8124,61.887,0.766969
54.9122,61.7666,0.749557
55.0123,61.4841,0.733383
55.1134,61.1987,0.717991
55.2135,60.9378,0.703746
55.3133,60.6913,0.690144
55.4132,60.4563,0.677151
55.5133,60.2421,0.664741
55.6133,60.0953,0.653543
55.7203,59.927,0.641617
55.8205,59.7896,0.63116
55.9203,59.6542,0.620753
56.0202,59.5375,0.610723
56.1202,59.4026,0.601009
56.2227,59.2607,0.590967
56.3223,59.1647,0.581749
56.4235,59.0451,0.572427
56.5233,58.9167,0.563098
56.6233,58.7903,0.554026
56.7233,58.6519,0.54532
56.8234,58.5082,0.536479
56.9235,58.3637,0.527626
57.0234,58.2811,0.519607
57.1253,58.2041,0.511354
57.2253,58.0641,0.50294
57.3259,57.9002,0.494385
57.4255,57.8101,0.486889
57.5264,57.6836,0.479235
57.6268,57.5542,0.471596
57.7284,57.3978,0.463701
57.8285,57.2669,1.73205
57.9314,62.0912,1.73205
58.0334,67.8288,1.73205
58.1335,72.6549,1.73205
58.2337,76.5939,1.73205
58.3335,79.6764,1.73205
58.4345,81.9816,1.73205
58.5344,83.5405,1.73205
58.6345,84.4256,1.73205
58.7344,84.7043,1.72841
58.8346,84.4251,1.71472
58.9345,83.6561,1.70221
59.0345,82.4845,1.69079
59.14,80.8801,1.68008
59.2409,78.9866,1.67026
59.3445,76.7956,1.66097
59.4457,74.5215,1.6529
59.5478,72.0405,1.64526
59.6499,69.4732,1.63828
59.7525,66.8914,1.63183
59.8525,64.314,1.62609
59.9525,61.748,1.62072
60.0526,59.2119,1.6157
60.1525,56.7393,1.61128
60.2525,54.3287,1.60725
60.3529,51.9497,1.60354
60.4527,49.6598,1.60014
60.5526,47.4195,1.59712
60.6525,45.2747,1.59422
60.7529,43.1932,1.59002
60.8536,41.2177,1.57742
60.9559,39.2828,1.56564
61.0565,37.4506,1.55501
61.1566,35.7311,1.54509
61.2566,34.1075,1.53587
61.357,32.5452,1.52762
61.4576,31.007,1.51974
61.5596,29.8153,1.51265
61.6598,29.9205,1.5069
61.7617,29.9791,1.50124
61.8626,30.0051,1.49595
61.9627,29.9347,1.49094
62.0626,29.9639,1.48713
62.1676,29.972,1.48326
62.2707,29.9773,1.48005
62.3756,29.9243,1.477
62.4807,29.9398,1.47457
62.5806,29.8873,1.47259
62.6807,29.9512,1.47071
62.7817,29.9508,1.46873
62.8847,29.9329,1.52179
62.9869,29.308,1.48654
63.0881,28.4212,1.40194
63.188,27.6356,1.29745
63.2876,27.0016,1.21453
63.3897,26.5206,1.14995
63.4917,26.1431,1.10195
63.5919,25.9057,1.06655
63.6927,25.8257,1.0405
63.7938,25.804,1.02075
63.8937,25.8473,1.00582
63.9957,25.7825,0.993561
64.0978,25.6869,0.984184
64.1979,25.6298,0.976832
64.2979,25.6092,0.970812
64.398,25.5908,0.965534
64.498,25.5589,0.960981
64.6028,25.5383,0.957025
64.707,25.5174,0.953715
64.8078,25.5066,0.951175
64.9081,25.5001,0.949106
65.0078,25.4982,0.947176
65.1108,25.4974,0.945354
65.2148,25.5,0.94382
65.3149,25.501,0.942422
65.4148,25.5019,0.94108
65.5148,25.5028,0.939748
65.6148,25.5037,0.938435
65.7148,25.5034,0.937303
65.8148,25.5029,0.936349
65.9147,25.5021,0.935513
66.0152,25.5028,0.934656
66.1148,25.502,0.933906
66.2168,25.5021,0.933136
66.3198,25.5013,0.932372
66.4208,25.5011,0.931695
66.5209,25.5009,0.931176
66.6212,25.501,0.93076
66.721,25.5009,0.930421
66.8209,25.5007,0.930038
66.9209,25.501,0.929697
67.0209,25.501,0.929353
67.1219,25.501,0.929007
67.2219,25.5011,0.928726
67.3228,25.5013,0.928446
67.4239,25.501,0.928153
67.5249,25.501,0.927887
67.6259,25.5017,0.927601
67.7261,25.5015,0.927303
67.826,25.5033,1.44736
67.9371,28.7553,1.40914
68.04,33.2265,1.36951
68.14,37.0287,1.34084
68.2401,39.7671,1.3129
68.3405,42.2137,1.28454
68.442,44.4596,1.2563
68.5432,46.5632,1.22835
68.6431,48.4454,1.20078
68.7441,50.2647,1.17417
68.8441,51.7949,1.15053
68.9441,53.2583,1.12979
69.0441,54.6916,1.11128
69.1452,56.1102,1.07589
69.246,57.4679,1.02642
69.3461,58.7557,0.990072
69.4461,59.9893,0.961952
69.5463,61.108,0.941259
69.6471,62.1704,0.924444
69.7474,63.1178,0.911494
69.8471,63.9955,0.900901
69.9481,64.7814,0.891604
70.0491,65.5116,0.883079
70.1491,66.1789,0.875216
70.249,66.764,0.868876
