Time,Manipulability,Error
21.6337,49.6582,0.946612
21.7357,49.6081,0.903862
21.8377,49.5765,0.863313
21.9378,49.5425,0.825834
22.0398,49.5109,0.789342
22.1437,49.4743,0.753268
22.2468,49.4347,0.718926
22.3487,49.3851,0.686191
22.454,49.3295,0.65345
22.5558,49.2719,0.623091
22.6557,49.2084,0.594576
22.7568,49.144,0.566776
22.8567,49.0918,0.540423
22.9579,49.0413,0.515044
23.0597,48.9788,0.490629
23.1616,48.9128,0.467229
23.2648,48.8491,0.444542
23.3648,48.7791,0.423431
23.4681,48.6934,0.402632
23.5677,48.6097,0.383568
23.6687,48.5488,0.365482
23.7686,48.4979,0.34882
23.8697,48.4493,0.333004
23.9709,48.4006,0.318025
24.0717,48.3445,0.303833
24.1727,48.2748,0.290192
24.2728,48.1982,0.276843
24.3726,48.1302,0.264474
24.4728,48.0683,0.253021
24.5727,48.0084,0.24216
24.6747,47.9387,0.231733
24.7746,47.8582,0.221726
24.8746,47.7799,0.212178
24.9757,47.7159,0.203245
25.081,47.493,1.03721
25.1807,47.1347,0.967818
25.2807,46.6735,0.894814
25.3817,46.3036,0.83162
25.4817,46.1666,0.779898
25.5817,46.0715,0.736889
25.6817,46.1072,1.05547
25.7818,46.7199,1.00089
25.8817,47.4741,0.947409
25.9817,48.3066,0.899752
26.0817,49.122,0.857342
26.1817,49.8845,0.820521
26.2817,50.6479,0.787707
26.3821,51.3997,0.757609
26.4817,52.0982,0.730748
26.5857,52.858,0.704871
26.6867,53.5544,0.681264
26.7907,54.3217,0.658905
26.8926,55.0625,0.637843
26.9957,55.7957,0.618002
27.0957,56.5479,0.599182
27.1957,57.2799,0.581264
27.2968,58.0798,0.564429
27.3967,58.9138,0.548514
27.4968,59.6752,0.53323
27.5966,60.5354,0.518472
27.6977,61.3206,0.50481
27.7977,62.1496,0.491399
27.8996,62.8837,0.478526
28.0006,63.6718,0.466107
28.101,64.4613,0.455046
28.2007,65.2933,0.444178
28.3006,66.1642,0.433489
28.4026,66.9837,0.42349
28.5026,67.8183,0.413975
28.6027,68.5419,0.405481
28.7026,69.2887,0.396789
28.8028,70.0388,0.388109
28.9056,70.7305,0.380201
29.0157,71.4783,0.371816
29.1157,72.1346,0.36459
29.2167,72.761,0.357965
29.3177,73.415,0.351342
29.4176,74.1072,0.344485
29.5176,74.6781,0.338907
29.6187,75.3037,0.332799
29.7187,75.8953,0.327012
29.8186,76.4485,0.321673
29.9246,76.9381,0.316833
30.0267,77.9487,2.99338
30.1266,75.9579,2.91173
30.2267,69.9737,2.80899
30.3276,62.4597,2.70795
30.4277,54.5522,2.61356
30.5276,46.7202,2.52533
30.6276,39.3662,2.44472
30.7277,33.028,2.37243
30.8275,29.0699,2.31936
30.9296,27.8816,2.28802
31.0307,28.1436,2.26871
31.1316,29.0711,2.25364
31.2318,30.0737,2.23667
31.3326,30.8548,2.21717
31.4325,31.5767,2.19522
31.5356,32.3145,2.17033
31.6376,33.1179,2.14387
31.7396,33.9026,2.1149
31.8416,34.7633,2.08356
31.9426,35.6272,2.04974
32.0457,36.3629,2.01147
32.1485,36.9785,1.96971
32.2487,37.3358,1.92537
32.3487,37.4643,1.8775
32.4496,37.4528,1.82635
32.5499,37.4391,1.77564
32.6506,37.6464,1.72964
32.7619,38.0835,1.68589
32.8626,38.7877,1.65112
32.9626,39.6408,1.61953
33.0666,40.6837,1.58999
33.1666,42.0605,1.57008
33.2666,43.6823,1.5568
33.3745,45.4858,1.54602
33.4768,47.1473,1.53791
33.5769,48.7082,1.53078
33.6766,50.1906,1.52446
33.7836,51.6606,1.51765
33.8846,52.9148,1.51118
33.9846,54.0826,1.50493
34.0849,55.1845,1.4992
34.1858,56.1855,1.49375
34.291,57.1184,1.48803
34.3906,57.908,1.48239
34.4906,58.6101,1.47687
34.5905,59.2449,1.47156
34.6906,59.8359,1.46646
34.7906,60.3537,1.46184
34.8906,60.834,1.45701
34.9976,61.2599,1.45201
35.1037,61.3278,1.50193
35.2076,61.3325,1.49796
35.3116,61.4014,1.49488
35.4166,61.5116,1.49206
35.5217,61.635,1.48954
35.6226,61.7713,1.48707
35.7225,61.8886,1.48472
35.8226,61.9992,1.48238
35.9236,62.1116,1.47971
36.0247,62.2051,1.47706
36.1245,62.2891,1.47443
36.2246,62.3763,1.47159
36.3305,62.4707,1.46815
36.4316,62.5412,1.46481
36.5315,62.6103,1.46122
36.6328,62.6803,1.4571
36.7345,62.7573,1.45259
36.8346,62.8296,1.44755
36.9346,62.8928,1.44195
37.0345,62.9281,1.43591
37.1345,62.9628,1.42922
37.2355,62.9904,1.42143
37.3376,63.0157,1.41251
37.4416,63.0568,1.4023
37.5425,63.0989,1.39118
37.6425,63.1495,1.3791
37.7458,63.1932,1.36549
37.8455,63.2334,1.35148
37.9455,63.302,1.33542
38.0486,63.4051,1.31729
38.1486,63.5596,1.29781
38.2525,63.8302,1.27575
38.3526,64.1343,1.25209
38.4528,64.4376,1.22586
38.5526,64.8361,1.19749
38.6526,65.2536,1.16714
38.753,65.6347,1.13469
38.8535,66.1095,1.10051
38.9536,66.5886,1.06539
39.0534,67.1209,1.02962
39.1535,67.7345,0.993783
39.2545,68.3023,0.957158
39.3555,68.8895,0.920814
39.4556,69.566,0.886019
39.5569,70.1959,0.851559
39.6565,70.8389,0.818356
39.7565,71.5251,0.78647
39.8585,72.2137,0.755781
39.9587,72.8601,0.726357
40.0626,72.0299,1.92942
40.1625,70.0681,1.87704
40.2655,68.7667,1.81512
40.3658,67.8467,1.75101
40.4659,67.2024,1.68533
40.5655,66.9406,1.62288
40.6675,67.1667,1.57377
40.7676,67.6765,1.53998
40.8675,68.2986,1.51602
40.9675,68.9545,1.4989
41.0689,69.6361,1.48589
41.1688,70.32,1.475
41.2686,71.0247,1.46457
41.3685,71.7183,1.45451
41.4685,72.4141,1.44585
41.5685,73.0669,1.43853
41.6687,73.6259,1.43235
41.7695,74.1269,1.4265
41.8695,74.5615,1.42073
41.9695,74.9455,1.4151
42.0706,75.2648,1.40949
42.1705,75.5236,1.40428
42.2706,75.7514,1.39916
42.3715,75.9329,1.39463
42.4715,76.1004,1.39048
42.5714,76.2183,1.38633
42.6734,76.303,1.38276
42.7745,76.3627,1.70034
42.8755,77.0372,1.66509
42.9756,77.7172,1.61377
43.0755,78.0878,1.56145
43.1756,78.0994,1.51335
43.2755,77.8305,1.47071
43.3756,77.366,1.43253
43.4756,76.7224,1.39845
43.5755,75.935,1.368
43.6756,75.1003,1.3403
43.7755,74.2111,1.31519
43.8765,73.2895,1.29222
